Local de aplicação	Regional	UC	Comunidade	Município
Rural	Solimões	Resex Catuá-Ipixuna	São João do Catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Sofia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora Aparecida	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora Aparecida 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Nazaré 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Nazaré 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João Evangelista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São João Evangelista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São José Lago do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São José Lago do catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	bela conquista Lago catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela Conquista	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Bela conquista Lago catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fátima 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora de Fatima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa de Fatima	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro do catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro do catua 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São  Lázaro	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro do Catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	santa Luzia do Bóia Lago do catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do água Branca Lago do Ipixuna 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do água Branca Lago do Ipixuna 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	divino espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	divino espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	divino espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do água Branca 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	divino espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	divino espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Fé	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Divino Espírito Santo 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/ Rua João dos Santos 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé /Rua João dos Santos 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé /Rua João dos Santos 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé /Rua João dos Santos 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé /São Sebastião 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Caiambé/Rua São Sebastião 	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Nossa Senhora Aparecida	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Comunidade São João do Catua	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Lázaro	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luiza do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Localidade Emanuel	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Boia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	Santa Luzia do Bóia	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca	Tefé
Rural	Solimões	Resex Catuá-Ipixuna	São Sebastião do Água Branca	Tefé
